"","date_time","value"
"192",2017-11-11 08:04:00,6657.24
"193",2017-11-11 08:09:00,6671.88
"194",2017-11-11 08:14:00,6711.33
"195",2017-11-11 08:19:00,6724.56
"196",2017-11-11 08:24:00,6702.55
"197",2017-11-11 08:29:00,6696.98
"198",2017-11-11 08:34:00,6710.05
"199",2017-11-11 08:39:00,6735.2
"200",2017-11-11 08:44:00,6726.18
"201",2017-11-11 08:49:00,6731.97
"202",2017-11-11 08:54:00,6749.04
"203",2017-11-11 08:59:00,6737.47
"204",2017-11-11 09:04:00,6738.18
"205",2017-11-11 09:09:00,6728.89
"206",2017-11-11 09:14:00,6680.19
"207",2017-11-11 09:19:00,6692.7
"208",2017-11-11 09:24:00,6705.8
"209",2017-11-11 09:29:00,6697.27
"210",2017-11-11 09:34:00,6726.46
"211",2017-11-11 09:39:00,6717.16
"212",2017-11-11 09:44:00,6722.78
"213",2017-11-11 09:49:00,6725.1
"214",2017-11-11 09:54:00,6736.47
"215",2017-11-11 09:59:00,6699.14
"216",2017-11-11 10:04:00,6693.1
"217",2017-11-11 10:09:00,6704.84
"218",2017-11-11 10:14:00,6701.4
"219",2017-11-11 10:19:00,6705.87
"220",2017-11-11 10:24:00,6708.5
"221",2017-11-11 10:29:00,6693.09
"222",2017-11-11 10:34:00,6688.42
"223",2017-11-11 10:39:00,6676.24
"224",2017-11-11 10:44:00,6645.16
"225",2017-11-11 10:49:00,6638.1
"226",2017-11-11 10:54:00,6611.63
"227",2017-11-11 10:59:00,6601.21
"228",2017-11-11 11:04:00,6586.39
"229",2017-11-11 11:09:00,6606.49
"230",2017-11-11 11:14:00,6566.76
"231",2017-11-11 11:19:00,6553.62
"232",2017-11-11 11:24:00,6531.59
"233",2017-11-11 11:29:00,6543.61
"234",2017-11-11 11:34:00,6576.5
"235",2017-11-11 11:39:00,6578.3
"236",2017-11-11 11:44:00,6575.85
"237",2017-11-11 11:49:00,6534.84
"238",2017-11-11 11:54:00,6494.98
"239",2017-11-11 11:59:00,6474.4
"240",2017-11-11 12:04:00,6489.93
"241",2017-11-11 12:09:00,6361.84
"242",2017-11-11 12:14:00,6404.2
"243",2017-11-11 12:19:00,6389.71
"244",2017-11-11 12:24:00,6385.31
"245",2017-11-11 12:29:00,6462.97
"246",2017-11-11 12:34:00,6424.96
"247",2017-11-11 12:39:00,6413.54
"248",2017-11-11 12:44:00,6370.61
"249",2017-11-11 12:49:00,6392.38
"250",2017-11-11 12:54:00,6399.36
